group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
render,,,,,4075998.0,ns,1
render,,,,,7805404.0,ns,2
render,,,,,10228592.0,ns,3
render,,,,,13533360.0,ns,4
render,,,,,29641890.0,ns,5
render,,,,,31217979.0,ns,6
render,,,,,26780889.0,ns,7
render,,,,,32270429.0,ns,8
render,,,,,33079159.0,ns,9
render,,,,,30597546.0,ns,10
render,,,,,49292288.0,ns,11
render,,,,,50689052.0,ns,12
render,,,,,52039404.0,ns,13
render,,,,,52890253.0,ns,14
render,,,,,60748886.0,ns,15
render,,,,,58515407.0,ns,16
render,,,,,53822084.0,ns,17
render,,,,,56258141.0,ns,18
render,,,,,69549725.0,ns,19
render,,,,,74260537.0,ns,20
render,,,,,80011585.0,ns,21
render,,,,,90557154.0,ns,22
render,,,,,81637241.0,ns,23
render,,,,,78015076.0,ns,24
render,,,,,82223145.0,ns,25
render,,,,,94477340.0,ns,26
render,,,,,92289026.0,ns,27
render,,,,,115155533.0,ns,28
render,,,,,92855012.0,ns,29
render,,,,,94633411.0,ns,30
render,,,,,105567257.0,ns,31
render,,,,,108135418.0,ns,32
render,,,,,103916775.0,ns,33
render,,,,,128249390.0,ns,34
render,,,,,137156630.0,ns,35
render,,,,,117383881.0,ns,36
render,,,,,117014422.0,ns,37
render,,,,,117923815.0,ns,38
render,,,,,122784638.0,ns,39
render,,,,,126810637.0,ns,40
render,,,,,130890884.0,ns,41
render,,,,,149805294.0,ns,42
render,,,,,158159518.0,ns,43
render,,,,,140929749.0,ns,44
render,,,,,141304543.0,ns,45
render,,,,,155067876.0,ns,46
render,,,,,148851265.0,ns,47
render,,,,,181052819.0,ns,48
render,,,,,174507452.0,ns,49
render,,,,,173890890.0,ns,50
render,,,,,161285338.0,ns,51
render,,,,,164961890.0,ns,52
render,,,,,254313200.0,ns,53
render,,,,,195554995.0,ns,54
render,,,,,227255763.0,ns,55
render,,,,,198633980.0,ns,56
render,,,,,220460596.0,ns,57
render,,,,,230161008.0,ns,58
render,,,,,196734149.0,ns,59
render,,,,,230997098.0,ns,60
render,,,,,197024636.0,ns,61
render,,,,,257041716.0,ns,62
render,,,,,233188619.0,ns,63
render,,,,,269229305.0,ns,64
render,,,,,260293275.0,ns,65
render,,,,,261371705.0,ns,66
render,,,,,262235802.0,ns,67
render,,,,,228239987.0,ns,68
render,,,,,298280524.0,ns,69
render,,,,,259669296.0,ns,70
render,,,,,247152714.0,ns,71
render,,,,,247163095.0,ns,72
render,,,,,259241600.0,ns,73
render,,,,,241278089.0,ns,74
render,,,,,296086475.0,ns,75
render,,,,,290290141.0,ns,76
render,,,,,300914756.0,ns,77
render,,,,,278215452.0,ns,78
render,,,,,286275366.0,ns,79
render,,,,,290541224.0,ns,80
render,,,,,264332585.0,ns,81
render,,,,,286005192.0,ns,82
render,,,,,274470067.0,ns,83
render,,,,,275400527.0,ns,84
render,,,,,292918991.0,ns,85
render,,,,,299336573.0,ns,86
render,,,,,291453894.0,ns,87
render,,,,,308574705.0,ns,88
render,,,,,333032201.0,ns,89
render,,,,,293728255.0,ns,90
render,,,,,366193552.0,ns,91
render,,,,,363382056.0,ns,92
render,,,,,352070824.0,ns,93
render,,,,,352143148.0,ns,94
render,,,,,329217919.0,ns,95
render,,,,,361200861.0,ns,96
render,,,,,354425755.0,ns,97
render,,,,,352360099.0,ns,98
render,,,,,331790454.0,ns,99
render,,,,,353788831.0,ns,100
